Mean: -51.96389176637851	min: -119.2956696772085	max: -7.343510849347958
Mean: -20.182896207644436	min: -114.54639396467122	max: -6.993743996956697
Mean: -11.91432855668063	min: -116.21055347318948	max: -4.631374545805777
Mean: -11.882129416876984	min: -118.89940451217257	max: 1.4657425081226974
Mean: -22.44215656252404	min: -109.41033615737346	max: 2.2146469743911874
Mean: -21.9680522324633	min: -111.94597289960541	max: 6.728991900390927
Mean: -25.545969756052074	min: -112.53058993559071	max: 6.996816501545255
Mean: -20.860049304266408	min: -103.09988360550189	max: 7.8243284532861095
Mean: -10.035995537403744	min: -114.9842591041498	max: 7.87595659191058
Mean: -40.92450164949506	min: -104.36364279262267	max: 8.127414146948102
Mean: -33.75182853170086	min: -118.72485057552717	max: -7.452914534637502
Mean: -28.600878798123823	min: -118.60541801041676	max: -6.228674974574398
Mean: -22.250260957301965	min: -117.56904092721456	max: -3.3488124053350323
Mean: -22.956890610341812	min: -113.80330261563324	max: -1.4749543065148403
Mean: -30.291406489064492	min: -113.595097837651	max: 3.5445700132083444
Mean: -19.45172337572023	min: -115.06337284274437	max: 7.053451253908917
Mean: -18.30603100223449	min: -117.06441167469421	max: 7.664964198947419
Mean: -12.290698307748125	min: -114.08423337757145	max: 7.845823442335703
Mean: -36.274301820369054	min: -114.66710837581319	max: 7.523591734710468
Mean: -20.62073577671224	min: -113.5507096512001	max: 8.119640588450808
