Mean: -43.610364475853935	min: -120.6463394545354	max: -4.334906678522007
Mean: -15.762457344104348	min: -119.7749406574741	max: 1.9740006716009226
Mean: -5.431474959786951	min: -112.75699242251243	max: 7.146945324951259
Mean: 3.0223330651237816	min: -114.8392311307552	max: 7.7773305649714075
Mean: 3.0156870241068163	min: -102.18695934504281	max: 7.791164181904176
Mean: 4.467804208527616	min: -111.96244269593873	max: 7.829198094391926
Mean: 3.211291995374339	min: -120.68965212201587	max: 8.031449673610078
Mean: 3.1817811883334124	min: -120.27951300715785	max: 7.940988312410889
Mean: 3.383933513051002	min: -119.25031611570495	max: 8.267332148651725
Mean: 3.951436060910918	min: -117.16903305727956	max: 8.52099374020956
Mean: 2.4855199408771034	min: -104.53781363384356	max: 8.418942918114393
Mean: 3.251123426667383	min: -117.80940485288161	max: 8.466185444836004
Mean: 2.4490413328824063	min: -117.08250755505266	max: 8.409693057102734
Mean: 4.136370429540934	min: -118.09590716222749	max: 8.962529787471682
Mean: 3.7250685369846033	min: -111.7643014912799	max: 8.80529222038921
Mean: 3.6382061905744014	min: -101.95604983265619	max: 8.974986795908263
Mean: -92.1639061311137	min: -120.05671447351575	max: -3.4295418590021662
Mean: -78.2250240781171	min: -120.35400928693576	max: -6.120391660450024
Mean: -57.25599297090653	min: -119.49705784516782	max: -2.7833560825986785
Mean: -15.429418871180983	min: -120.32067931657471	max: -5.026806224200251
Mean: -30.44062071428309	min: -120.01479956837122	max: -5.6981806437037905
Mean: -29.997181204377288	min: -119.30692947247562	max: -1.9803253116340662
Mean: -9.609416309845278	min: -117.25685039127929	max: 5.470003810694437
Mean: -11.633236814820037	min: -117.78281998614409	max: 7.150902846823273
Mean: -7.723109687766808	min: -114.7865423259474	max: 8.148786881699227
Mean: -0.7644825128953565	min: -114.04702945164645	max: 9.984383973421897
Mean: -0.8764951393596037	min: -114.11919169978222	max: 11.345919434615872
Mean: -8.091581069563155	min: -117.21185491299862	max: 12.492040983577136
Mean: 0.6972970241926648	min: -117.0456925371054	max: 12.291742349033395
Mean: -0.08016475937817302	min: -117.22467894344291	max: 13.225599925629924
Mean: 1.6518263695062947	min: -114.49509442349392	max: 13.961074238346848
Mean: 4.718824495101131	min: -115.5011302713388	max: 13.749614841986201
Mean: 5.3499637556791715	min: -113.77198230764031	max: 13.409794561115088
Mean: 6.330937419855979	min: -113.46961279367855	max: 13.680313196080942
Mean: -69.35387411624059	min: -119.93478884059998	max: -4.808897518199557
Mean: -18.41521340883916	min: -118.14280907637811	max: 0.6377207223027945
Mean: -7.37879939404626	min: -118.45621704402318	max: 4.57118560484424
Mean: -45.718489916480856	min: -118.38034481919334	max: 6.391457731547972
Mean: -64.08788293326951	min: -106.9500940584806	max: 7.7046222574017005
Mean: -60.69669468687344	min: -117.76740179003204	max: 7.455331408370178
Mean: -59.29467344199904	min: -117.75033985282822	max: 7.689457679828336
Mean: -38.1011000545571	min: -117.20330607719762	max: 8.10748394735654
Mean: -29.67496323065131	min: -116.95645506695007	max: 8.44536130256721
Mean: -24.90031334431375	min: -118.542968627285	max: 9.088528808652454
Mean: -51.21398437716657	min: -115.86573178393957	max: 12.36358977502887
Mean: -63.47801781433378	min: -119.518655101088	max: 13.355910430856051
Mean: -54.946923667369184	min: -115.47167006574264	max: 15.514578861620665
Mean: -30.849746290300594	min: -119.71205488035676	max: 15.553046299645114
Mean: -35.546996765883996	min: -116.76726215801254	max: 15.550638234599633
Mean: -31.84749264382618	min: -114.88975975392394	max: 15.590942061297344
Mean: -39.859763263141865	min: -119.72483130553749	max: 15.862051978970403
Mean: -25.695359112671095	min: -116.26334516965841	max: 15.59077137276572
Mean: -33.64377308265504	min: -110.76050523287289	max: 15.602562774740507
Mean: -36.08683519673944	min: -119.70888560458928	max: 15.638012599462511
Mean: -33.22272473189127	min: -113.82981493334742	max: 15.375700349873107
Mean: -36.78007818098619	min: -119.68232679491398	max: 16.195499116984866
Mean: -27.87762873915064	min: -113.09162967504707	max: 15.768427661888444
Mean: -30.693234322006493	min: -119.6493395503459	max: 16.073313432051
Mean: -45.73379652785712	min: -119.65522949438844	max: 15.746913347191533
Mean: -28.313382237599754	min: -116.4062898036616	max: 15.703705397296988
Mean: -38.155138267238	min: -111.16445433240833	max: 16.104061217142107
Mean: -24.05870348001525	min: -107.89622990720727	max: 16.818429867592137
Mean: -15.776074094236002	min: -112.41574937073221	max: 16.784492758015144
Mean: -17.313599851479076	min: -112.2132805985663	max: 16.84231641604048
Mean: -17.859982081313763	min: -115.54791833746715	max: 16.90922750504498
Mean: -15.699740135621541	min: -116.61161955261305	max: 16.89743569278956
Mean: -16.935979307292378	min: -116.09954873095694	max: 17.059605591350845
Mean: -20.898169545001576	min: -116.92941786728099	max: 16.918684744223746
Mean: -19.370599350444543	min: -112.9745855110294	max: 16.927337502738286
Mean: -14.731330791926684	min: -114.67004786653425	max: 17.090528418016063
Mean: -23.281183242406726	min: -115.76116859165657	max: 17.38622678054159
Mean: -25.272480363390898	min: -108.81279998421097	max: 17.47610412276457
Mean: -22.816866930117047	min: -102.67855716879426	max: 17.542903989786524
Mean: -29.223985755752658	min: -114.96692076546427	max: 17.401157360928796
Mean: -29.94515566592677	min: -109.96323427644232	max: 17.387726099079977
Mean: -26.696072187535044	min: -108.44914849125378	max: 17.61710422442517
Mean: -22.534259216322766	min: -115.79497445350498	max: 17.40672542656695
Mean: -30.507042764939985	min: -115.34924531257641	max: 17.541856828646214
Mean: -26.807381933525942	min: -114.43322949787864	max: 17.43029397736502
Mean: -27.473731298126193	min: -114.1505346980366	max: 17.393728005472
Mean: -30.69360125738262	min: -114.74360343052533	max: 17.45648422752834
Mean: -26.17815262748973	min: -115.48063073857706	max: 17.45729401296948
Mean: -26.112156163968677	min: -113.82394858524857	max: 17.51540167198947
Mean: -24.88906484600849	min: -113.69846237954829	max: 17.568485011968253
Mean: -23.196765079777805	min: -112.61153181844874	max: 17.529784948496175
Mean: -29.34212384826887	min: -115.48637183087273	max: 17.34770872998103
Mean: -16.990353261531308	min: -115.0070178743939	max: 17.604686880481694
Mean: -32.820348654139075	min: -114.7913328193293	max: 17.59279217330869
Mean: -25.72922523746188	min: -115.03576093623138	max: 17.39031421743712
Mean: -23.291461336047796	min: -112.30021543088503	max: 17.436268447605094
Mean: -25.283871920352038	min: -114.77196160191019	max: 17.59469888339217
Mean: -18.876692214377538	min: -115.42086610361943	max: 17.59006868315263
Mean: -22.55795368002777	min: -108.59682119975479	max: 17.501295798961735
Mean: -17.758235816167435	min: -115.72910604512926	max: 17.51572575233045
Mean: -19.861343887362477	min: -115.69335555587634	max: 17.529474768710926
Mean: -19.63855771095703	min: -114.76530530234133	max: 17.5238151810414
Mean: -17.21245706840599	min: -115.73090907292978	max: 17.505529804227052
Mean: -18.405642424382435	min: -112.24311735063269	max: 17.46795450690438
Mean: -16.634871169872387	min: -116.08968995941119	max: 17.50102231566685
Mean: -15.954275158143737	min: -115.38211354637721	max: 17.631244516180626
Mean: -19.16842072635938	min: -114.82687247210751	max: 17.505255696165328
Mean: -20.840257614819258	min: -119.93401577380041	max: 17.546077295544585
Mean: -22.611232447517388	min: -115.72656032472683	max: 17.478594466827456
Mean: -17.08337471068585	min: -114.59194392492086	max: 17.521531938994414
Mean: -13.111817324061448	min: -115.59730987721477	max: 17.52392875321885
Mean: -22.753257282826308	min: -118.67405077453955	max: 17.565957326332438
Mean: -17.165945953610606	min: -113.38669327715816	max: 17.582296373045043
Mean: -15.243287744118744	min: -118.69786009573899	max: 17.576038339524235
Mean: -19.248917601963125	min: -116.11140693367564	max: 17.54206942797934
Mean: -16.3647789159213	min: -117.99712889231769	max: 17.564547889112312
Mean: -19.22009488907918	min: -115.6578892549588	max: 17.51090275812111
Mean: -17.826314106638012	min: -115.7054939119964	max: 17.57362307654851
Mean: -18.38327348323895	min: -118.7766174646095	max: 17.524212439713764
Mean: -14.4370059824235	min: -101.5418892341069	max: 17.51151677764301
Mean: -16.553163792354187	min: -118.01779227447267	max: 17.56731437866461
Mean: -20.774935712038538	min: -112.86025599570965	max: 17.48316465649462
Mean: -15.762891334824559	min: -115.62789239573654	max: 17.520838337474572
Mean: -13.29376724356581	min: -100.92028396526987	max: 17.570560192175964
Mean: -16.624604659306083	min: -101.54450732925434	max: 17.538981730739092
Mean: -17.001915505417877	min: -120.87138500082868	max: 17.56026642086543
Mean: -15.01845725622097	min: -110.95484428457752	max: 17.55715093680543
Mean: -19.060244701130554	min: -118.76505975763142	max: 17.52987922144844
Mean: -14.815765408733325	min: -118.8189396431494	max: 17.548115680411637
Mean: -15.358230748817608	min: -114.65439133310494	max: 17.524560750743447
Mean: -16.86227431856998	min: -118.02228555322762	max: 17.578237410224123
Mean: -81.65075764566058	min: -119.47987418268062	max: -4.902797586816677
Mean: -80.23482214190496	min: -120.26079476394754	max: -5.337523503813892
