Mean: -113.18894022319307	min: -120.51366625970292	max: -106.59390544009892
Mean: -107.49530502965486	min: -119.03065154252884	max: -19.45892255303564
Mean: -43.004949128247	min: -119.22896726379233	max: -15.012862809929398
Mean: -43.100605597691874	min: -117.66791670749896	max: -10.223353304725116
Mean: -46.0165497502674	min: -117.31543665259193	max: -10.001899375778384
Mean: -51.10314269880373	min: -119.18533632235508	max: -9.10437276216818
Mean: -66.20671230608751	min: -116.29927697413322	max: -9.903250464202081
Mean: -83.22177592178801	min: -122.3331195054256	max: -9.78288647884522
Mean: -65.30256158565462	min: -119.17693622960383	max: -9.715900465092641
Mean: -62.562710630522254	min: -117.94308158474603	max: -5.732014571690266
Mean: -59.42808804080321	min: -116.75051743602457	max: -4.614896831331366
Mean: -33.93099184914465	min: -123.8157454324815	max: -3.5931831477650493
Mean: -55.99240678922237	min: -124.21257396716588	max: -3.6830771705825955
Mean: -97.1733340632465	min: -121.24648908986151	max: -31.511042862380883
Mean: -90.32858195539373	min: -125.14053508693105	max: -30.568860306667606
Mean: -82.8386032615534	min: -125.81168665211274	max: -30.324897219155964
Mean: -85.23962472276959	min: -119.23251778453528	max: -24.880064129121507
Mean: -65.7872340528603	min: -114.22367807522703	max: -10.91667246134008
Mean: -61.48600926630397	min: -117.46092172407012	max: -6.955740630008982
Mean: -37.68464585664887	min: -114.84786075482542	max: -6.169412686144057
Mean: -52.95194843969952	min: -117.62838257991339	max: -2.5684782564921216
Mean: -50.415046073435704	min: -120.56749337150148	max: -1.100832958619603
Mean: -64.54521156000193	min: -119.67629914114147	max: -0.5741904567227188
Mean: -68.42486520080207	min: -119.81640701026585	max: -0.835615901461844
Mean: -73.68313529803743	min: -119.86307325222934	max: -0.630718837619392
Mean: -12.360985024344775	min: -110.34236791035349	max: 0.5867494638684859
Mean: -30.282325565514476	min: -119.19873133499242	max: 2.7777710375347007
Mean: -38.78956111769385	min: -119.39950722079094	max: 4.402568662374851
Mean: -16.297514539153866	min: -119.06462169195562	max: 6.182412042911409
Mean: -8.062991497240686	min: -118.39526101244637	max: 7.0225128033476425
Mean: -6.128478699163309	min: -118.54060474332125	max: 7.236827598170631
Mean: -21.434078951907463	min: -119.22429274071646	max: 7.4335466192644715
Mean: -52.71834455142117	min: -119.45552373164442	max: 7.523014647552416
Mean: -48.372158593250305	min: -118.99347801980468	max: 7.557174923215199
Mean: -51.59734975687449	min: -119.28187529966208	max: 7.866041989912681
Mean: -68.19031000685172	min: -120.46828316075951	max: 7.832436325474182
Mean: -67.98161855601073	min: -119.90643109000233	max: 7.715935866419274
Mean: -56.08992362773266	min: -119.43921517327345	max: 8.045349193170937
Mean: -34.66127878921641	min: -121.49225166709817	max: 7.996943120211393
Mean: -54.72505879451724	min: -119.6929168877416	max: 8.067944908909409
Mean: -71.68044790855329	min: -120.4478164355921	max: 8.239567234320235
Mean: -92.33496691188074	min: -119.76418808807534	max: 8.310989671840495
Mean: -44.90489252102904	min: -121.00720136358571	max: 11.51180185132924
Mean: -29.780428561789257	min: -115.71866430949629	max: 10.888361200140013
Mean: -23.400405873931664	min: -119.5108109678575	max: 12.14054009466011
Mean: -26.320011991685398	min: -118.49550412749858	max: 12.966841469934245
Mean: -35.77600770864343	min: -120.00670402644502	max: 12.953919209054026
Mean: -34.829108599030576	min: -121.60917087540008	max: 12.192760145423318
Mean: -35.532330947119206	min: -118.23422585879192	max: 12.963630732528113
Mean: -34.846367528687814	min: -119.09403070134428	max: 13.036219464954463
Mean: -38.687341075057155	min: -116.79346423190906	max: 12.969030622307576
Mean: -38.085989489003644	min: -118.61333036744422	max: 12.825804359874242
Mean: -38.30065676688698	min: -118.40771326584233	max: 12.58684783839868
Mean: -43.78744092685231	min: -118.47477612634819	max: 12.21954172818569
Mean: -28.2637624426673	min: -116.1128796553997	max: 11.977358575309564
Mean: -35.65251103449037	min: -116.06904125861905	max: 12.127798591232517
Mean: -58.52122905730366	min: -118.51958386845257	max: 11.851458506228322
Mean: -60.23870583620975	min: -119.21602946305427	max: 9.927308124857452
Mean: -61.63635312644023	min: -116.16687272490002	max: 11.470200493473325
Mean: -63.6520667692457	min: -118.76023481687281	max: 12.806856710902737
Mean: -76.63452233374964	min: -111.7904669372297	max: 12.85443311073302
Mean: -64.37782772812871	min: -115.86721971789669	max: 16.920678872098488
Mean: -68.21171216127047	min: -118.75891664730048	max: 18.566584265004252
Mean: -68.20730402065539	min: -115.56298620606732	max: 18.084021592427966
Mean: -70.16601702180024	min: -118.4423787469303	max: 18.311461297124865
Mean: -75.8056758449755	min: -117.44471762574958	max: 18.758477394172257
Mean: -77.72567226911251	min: -118.12489462018173	max: 28.881300252324397
Mean: -81.97661081495302	min: -116.9812520654263	max: 18.386732000082485
Mean: -77.30441473424327	min: -115.10120096496074	max: 18.317545661272803
Mean: -76.09670055281421	min: -118.56316070251499	max: 17.321555092529717
Mean: -72.39054686694556	min: -113.48991506892298	max: 22.552985794798936
Mean: -73.12040567125827	min: -118.94987257732095	max: 17.003846326371438
Mean: -72.48256721247381	min: -118.1972706794338	max: 18.950153553593076
Mean: -68.78591275855064	min: -119.86678021748077	max: 19.262499148000725
Mean: -83.137893347314	min: -117.05534366683793	max: 17.596668490947827
Mean: -85.72856227228601	min: -119.67143848440263	max: 15.656976465433942
Mean: -74.32299959886912	min: -117.86017857164427	max: 18.519458131264457
Mean: -83.23758704552878	min: -118.96822550097198	max: 15.411697280027928
Mean: -80.93054708583536	min: -119.7613707481307	max: 20.67187816274491
Mean: -73.64005239628365	min: -115.13076565039164	max: 13.483765989413104
Mean: -84.65052293334918	min: -120.59771069575443	max: 15.966916017056109
Mean: -86.08078217852788	min: -119.26286475979444	max: 17.943609386761196
Mean: -83.71169788497127	min: -118.15337157585152	max: 14.630683063655228
Mean: -83.78488227940444	min: -115.61372362630135	max: 13.092034725162135
Mean: -84.24868093340496	min: -119.07990315417426	max: 13.199598085489317
Mean: -52.381728945871565	min: -118.41374082762289	max: 14.695928375387796
Mean: -55.350845219170296	min: -120.20021878967758	max: 12.110625067837022
Mean: -74.57248479427585	min: -117.34850876784907	max: 12.125013806131776
Mean: -83.88332056159406	min: -115.84606482623936	max: 12.03351966416116
Mean: -85.5327034066098	min: -120.26601367854192	max: 15.392266617973972
Mean: -81.44224094629357	min: -119.96302148967041	max: 13.450412373611499
Mean: -57.44124617961546	min: -118.38611393387804	max: 21.00731830725594
Mean: -57.237642881464446	min: -118.80782598920248	max: 18.387192484364068
Mean: -55.303438476768896	min: -118.47112832116667	max: 19.744914020906023
Mean: -61.20203304603186	min: -118.81228620656395	max: 16.32307833192572
Mean: -57.69236726891929	min: -118.9626890889984	max: 19.73701828885186
Mean: -74.75280173505237	min: -119.12069107476958	max: 25.50925000721846
Mean: -71.79959009514171	min: -119.143273605429	max: 22.144936747962408
Mean: -73.194354579486	min: -120.11986529166707	max: 19.011135411433436
Mean: -71.04752753550291	min: -122.61957316830299	max: 18.050205433349035
Mean: -70.91679195026602	min: -120.74366192535665	max: 12.761630149207727
Mean: -73.00766773821688	min: -119.4879162198704	max: 16.745731393565098
Mean: -64.9953214381931	min: -116.52149849924173	max: 20.618860219543393
Mean: -72.43709850338713	min: -120.05392855932044	max: 17.8210612076705
Mean: -65.72146097996469	min: -121.71419322062499	max: 15.19183946238714
Mean: -62.230254675025414	min: -113.94891264595786	max: 19.29153169644044
Mean: -66.12924637665667	min: -120.0571914365063	max: 19.040212163094807
Mean: -71.92408468748637	min: -121.45372500354053	max: 19.60200904576959
Mean: -71.91003419490352	min: -121.52085228063663	max: 14.947534589054502
Mean: -61.436334701390635	min: -118.05788000319674	max: 21.72556681655197
Mean: -62.958074628657045	min: -120.16008249062978	max: 25.315258718688614
Mean: -69.76968539458356	min: -120.6516257960248	max: 12.059077554610157
Mean: -76.08446751602838	min: -119.64575533010787	max: 18.777364013512305
Mean: -65.22022741088769	min: -120.4890830072201	max: 16.629137782616105
